Age,Gender,Experience,Education,Interview Score,Test Score,Salary
30,m,10,PhD,7,7,5383.17
29,m,10,PhD,9,9,5383.06
24,m,10,PhD,8,9,5382.89
31,m,9,PhD,8,9,5382.17
27,m,14,PhD,9,8,5381.98
32,m,11,PhD,9,9,5381.52
30,m,11,PhD,6,7,5380.96
26,m,13,PhD,7,7,5380.87
25,m,13,PhD,6,8,5380.64
24,m,12,PhD,8,10,5380.59
26,m,11,PhD,8,8,5379.66
29,m,9,PhD,7,8,5378.89
30,m,10,PhD,8,9,5378.68
28,m,14,PhD,7,10,5377.91
28,m,9,PhD,6,7,5376.14
27,m,8,PhD,9,9,5373.01
23,m,12,PhD,8,9,5372
27,m,10,PhD,6,8,5371.09
25,m,11,PhD,8,8,5370.82
26,m,11,PhD,7,9,5369.52
22,m,12,PhD,7,9,5369.45
27,m,12,PhD,9,9,5368.88
28,m,11,PhD,8,8,5368.57
27,m,11,Ma,10,10,5366.93
28,m,10,PhD,7,9,5366.87
26,m,9,PhD,8,7,5365.63
29,m,11,PhD,8,9,5365.6
27,m,10,PhD,8,9,5365.06
26,m,9,PhD,8,9,5364.68
31,m,13,PhD,7,8,5362.95
26,m,8,PhD,6,9,5362.74
25,m,12,PhD,8,9,5362.54
29,m,13,PhD,8,9,5362.54
23,m,11,PhD,7,7,5362.45
26,m,11,PhD,8,9,5362.15
26,m,8,PhD,7,9,5361.47
32,m,14,PhD,6,8,5361.21
26,m,10,Ma,9,8,5360.8
29,m,10,PhD,9,7,5360.8
29,m,12,Ma,5,8,5360.67
30,m,11,PhD,9,9,5360.15
29,m,12,PhD,7,9,5359.58
30,m,9,PhD,7,9,5358.31
26,m,12,PhD,7,9,5357.97
25,m,9,PhD,8,9,5357.39
28,m,9,PhD,7,8,5356.77
33,m,8,PhD,7,8,5355.94
25,m,12,PhD,7,8,5354.74
33,m,11,PhD,8,8,5354.57
26,m,10,PhD,8,8,5354.35
24,m,10,PhD,7,8,5353.81
24,m,12,PhD,6,8,5353.73
30,m,11,PhD,8,7,5353.02
29,m,9,PhD,8,9,5352.74
27,m,11,PhD,6,7,5352.51
29,m,11,PhD,7,9,5350.89
25,m,14,PhD,6,7,5350.65
26,m,10,PhD,8,7,5350.17
30,m,10,PhD,7,8,5349.96
31,m,11,PhD,8,9,5349.02
26,m,13,PhD,8,8,5348.76
28,m,9,PhD,8,8,5347.36
21,m,10,PhD,9,8,5346.91
26,m,10,PhD,6,8,5346.71
26,m,9,Ma,8,9,5346.35
32,m,9,PhD,8,8,5346.26
33,m,11,PhD,9,7,5345.43
24,m,10,PhD,7,8,5345.17
31,m,9,PhD,9,10,5344.86
31,m,9,PhD,8,8,5343.78
33,m,12,PhD,7,7,5343.38
21,m,11,PhD,8,8,5343.25
26,m,10,PhD,7,9,5342.66
26,m,11,PhD,8,7,5342.31
32,m,9,PhD,8,7,5341.63
27,m,12,PhD,8,10,5340.8
26,m,9,PhD,8,8,5339.7
23,m,12,PhD,7,9,5339.51
26,m,11,PhD,8,8,5339.38
27,m,11,PhD,6,7,5338.5
30,m,10,PhD,8,9,5338.41
23,m,9,PhD,7,8,5338.24
25,m,9,PhD,7,8,5338.03
28,m,10,PhD,7,9,5337.46
26,m,12,Ma,6,7,5337.19
27,m,11,PhD,9,8,5336.98
24,m,10,PhD,8,8,5336.24
27,m,9,PhD,6,8,5335.04
31,m,10,PhD,7,9,5334.82
27,m,12,PhD,8,8,5334.71
29,m,14,PhD,8,9,5334.58
25,m,12,PhD,8,7,5334.11
26,m,8,PhD,8,8,5333.96
27,m,13,Ma,7,8,5332.94
29,m,11,PhD,6,8,5332.65
32,m,10,PhD,7,9,5331.32
24,m,10,PhD,6,8,5330.8
25,m,9,PhD,7,9,5330.39
27,m,14,PhD,8,8,5330.28
23,m,10,PhD,9,10,5330.07
27,m,12,PhD,6,7,5329.65
30,m,11,PhD,7,8,5329.61
28,m,9,PhD,8,8,5328.47
29,m,10,PhD,7,8,5326.85
26,m,9,PhD,8,9,5325.75
29,m,13,PhD,6,8,5325.4
28,m,11,PhD,8,8,5324.37
29,m,10,PhD,7,9,5324.23
31,m,13,PhD,7,9,5324.12
27,m,11,PhD,8,8,5323.99
27,m,11,PhD,8,9,5322.51
24,m,12,PhD,8,9,5321.35
29,m,12,PhD,7,8,5321.31
26,m,11,PhD,8,9,5321.1
22,m,10,PhD,8,8,5320.53
28,m,11,Ma,8,8,5319.88
26,m,13,PhD,8,8,5319.34
25,m,10,PhD,8,10,5318.91
32,m,10,PhD,7,8,5318.76
27,m,12,PhD,8,8,5318.46
26,m,10,PhD,6,8,5317.78
26,m,10,PhD,7,9,5317.14
28,m,11,PhD,7,10,5316.29
32,m,7,PhD,8,9,5315.17
30,m,12,PhD,7,9,5313.37
22,m,12,PhD,7,8,5313.36
31,m,10,PhD,7,8,5313.35
33,m,9,PhD,7,9,5312.92
30,m,13,PhD,7,8,5312.02
26,m,13,PhD,8,9,5311.77
31,m,8,PhD,9,9,5311.42
31,m,11,PhD,6,8,5311.25
28,m,12,PhD,7,9,5311.08
30,m,10,PhD,7,9,5310.95
30,m,9,PhD,7,9,5309.9
27,m,8,PhD,8,8,5309.8
25,m,9,Ma,8,9,5309.02
29,m,11,PhD,9,9,5308.23
25,m,12,PhD,6,7,5307.8
29,m,13,PhD,10,10,5307.8
33,m,10,PhD,7,8,5307.25
26,m,10,PhD,9,8,5306.4
26,m,9,PhD,8,7,5306.38
28,m,11,PhD,7,7,5305.75
28,m,9,PhD,7,10,5305.72
28,m,11,PhD,7,9,5304.03
31,m,10,PhD,7,8,5303.38
31,m,10,PhD,7,8,5302.92
25,m,9,PhD,7,8,5302.31
30,m,11,PhD,8,8,5302.15
27,m,10,Ma,8,9,5301.71
27,m,13,PhD,9,9,5301.37
33,m,9,PhD,7,8,5301.1
27,m,10,PhD,8,8,5300.79
29,m,14,PhD,8,9,5300.51
28,m,12,Ma,7,8,5299.49
23,m,11,PhD,9,7,5298.57
27,m,10,PhD,7,10,5298.26
35,m,12,PhD,7,8,5297.57
26,m,11,PhD,8,10,5297.2
24,m,10,PhD,7,8,5296.47
22,m,11,PhD,7,8,5295.78
27,m,11,PhD,7,9,5294.77
26,m,8,Ma,9,7,5293.02
32,m,13,PhD,7,10,5291.54
26,m,11,PhD,7,9,5291.03
26,m,11,PhD,8,8,5289.7
27,m,9,PhD,8,9,5289.49
27,m,8,PhD,7,9,5289.45
24,m,11,PhD,7,9,5288.66
31,m,8,PhD,7,7,5288.16
26,m,9,PhD,8,10,5287.78
29,m,10,PhD,8,8,5285.65
26,m,10,PhD,7,8,5285.49
31,m,10,PhD,8,9,5282.98
30,m,14,Ma,7,8,5282.97
23,m,11,PhD,8,9,5282.69
32,m,12,Ma,6,9,5282.29
29,m,12,PhD,6,8,5282.27
26,m,11,PhD,8,8,5282.22
29,m,11,PhD,8,9,5281.92
25,m,10,PhD,8,10,5281.77
30,m,12,PhD,9,7,5281.55
28,m,12,PhD,7,8,5281.35
28,m,9,PhD,6,9,5279.01
31,m,10,PhD,6,8,5278.28
29,m,11,PhD,7,8,5278.22
29,m,11,PhD,7,8,5277.41
23,m,9,PhD,7,8,5277.34
29,m,10,PhD,7,8,5277.1
30,m,11,PhD,7,9,5276.5
30,m,12,PhD,8,8,5276.31
30,m,8,PhD,7,9,5276.01
25,m,6,PhD,7,8,5276.01
30,m,10,PhD,7,9,5275.13
29,m,12,Ma,7,9,5275.01
30,m,11,PhD,7,7,5274.54
22,m,10,PhD,8,9,5274.49
25,m,10,PhD,8,9,5273.47
29,m,13,Ma,8,8,5272.85
26,m,11,PhD,7,8,5272.73
27,m,10,Ma,8,9,5272.19
26,m,11,PhD,8,8,5272.03
25,m,9,PhD,6,6,5271.93
28,m,11,PhD,7,9,5270.11
31,m,10,PhD,8,8,5268.96
26,m,12,Ma,7,10,5268.39
26,m,9,PhD,8,8,5268.17
29,m,12,Ma,6,9,5267.8
27,m,12,PhD,7,9,5267.38
26,m,11,PhD,7,8,5267.35
34,m,11,PhD,8,8,5266.95
30,m,11,PhD,7,7,5266.85
32,m,10,PhD,5,7,5265.19
24,m,11,PhD,7,8,5264.68
33,m,12,PhD,6,7,5264.31
24,m,13,PhD,7,8,5264.15
25,m,9,PhD,8,8,5264.02
29,m,10,PhD,7,9,5263.57
28,m,12,PhD,9,9,5262.95
28,m,9,PhD,8,9,5262.4
24,m,11,PhD,6,8,5262.38
28,m,10,PhD,8,8,5262.07
25,m,8,PhD,8,8,5261.89
29,m,11,PhD,9,9,5261.43
26,m,9,PhD,8,9,5261.34
24,m,12,PhD,8,10,5261.18
22,m,12,PhD,8,7,5261.14
27,m,11,PhD,7,9,5260.88
27,m,11,PhD,8,9,5260.23
30,m,11,PhD,8,9,5258.7
30,m,11,PhD,7,9,5258.2
32,m,11,PhD,7,9,5257.47
27,m,12,Ma,9,8,5257.21
25,m,12,PhD,6,6,5256.54
29,m,10,PhD,7,9,5256.44
30,m,11,PhD,9,8,5255.72
31,m,10,PhD,8,8,5254.09
24,m,12,PhD,8,9,5253.72
31,m,10,PhD,8,9,5253.71
26,m,12,PhD,8,10,5253.57
29,m,11,PhD,7,9,5253.21
29,m,9,Ma,7,10,5253.18
23,m,9,Ma,7,10,5252.77
21,m,9,PhD,7,8,5252.11
26,m,10,PhD,8,9,5251.89
26,m,11,Ma,7,9,5251.45
25,m,14,PhD,8,9,5250.98
26,m,11,PhD,7,8,5250.07
26,m,8,PhD,8,8,5249.52
32,m,12,Ma,7,7,5249.27
28,m,12,PhD,9,9,5249.18
23,m,13,PhD,8,8,5249.17
26,m,11,PhD,7,8,5249.07
29,m,8,Ma,8,9,5248.7
31,m,12,PhD,9,8,5248.57
29,m,9,Ma,8,8,5247.97
25,m,12,PhD,8,9,5247.43
26,m,10,PhD,9,7,5247.3
28,m,9,PhD,8,8,5247.3
25,m,10,PhD,7,8,5246.93
25,m,11,PhD,7,9,5246.38
25,m,13,PhD,7,8,5245.28
23,m,12,PhD,8,8,5245.06
27,m,11,PhD,6,6,5244.95
27,m,12,PhD,6,8,5244.73
29,m,9,PhD,8,9,5244.29
26,m,10,PhD,8,10,5243.78
28,m,13,PhD,8,9,5243.36
30,m,13,Ma,8,9,5243.32
30,m,10,PhD,8,7,5242.91
27,m,11,PhD,7,9,5242.18
27,m,11,PhD,7,9,5241.3
27,m,11,PhD,6,6,5240.54
29,m,11,PhD,7,7,5240.47
30,m,10,PhD,8,7,5239.93
26,m,10,PhD,7,8,5239.72
31,m,11,PhD,8,8,5239.69
28,m,10,PhD,8,9,5239.25
25,m,11,PhD,6,6,5238.97
31,m,13,Ma,8,8,5238.34
28,m,11,PhD,7,9,5238.24
26,m,12,PhD,6,7,5238.19
22,m,9,Ma,8,9,5238.15
27,m,10,PhD,8,8,5238
26,m,8,PhD,8,8,5237.57
26,m,9,PhD,8,8,5237.56
29,m,10,PhD,7,8,5237.52
28,m,11,PhD,6,7,5237.14
32,m,15,PhD,9,9,5235.97
29,m,12,PhD,8,9,5235.85
28,m,12,PhD,7,8,5235.77
29,m,11,PhD,8,10,5234.74
27,m,11,Ma,8,8,5234.01
27,m,12,Ma,8,9,5233.88
26,m,12,PhD,7,10,5233.66
30,m,10,PhD,8,8,5233.29
29,m,11,PhD,8,9,5233.06
27,m,11,PhD,6,8,5232.81
28,m,10,PhD,8,7,5232.27
27,m,13,PhD,7,10,5232.25
28,m,11,PhD,7,9,5231.3
27,m,12,PhD,7,9,5231.23
28,m,12,PhD,7,9,5231.15
28,m,12,PhD,7,9,5231.14
27,m,10,PhD,7,9,5230.57
26,m,13,Ma,7,7,5230.34
30,m,13,PhD,6,7,5229.87
28,m,9,PhD,8,10,5229.27
28,m,10,PhD,7,8,5228.45
32,m,8,PhD,7,8,5227.85
25,m,9,Ma,8,10,5227.39
28,m,10,PhD,7,8,5225.88
29,m,11,PhD,9,9,5225.33
26,m,12,PhD,8,7,5225.21
29,m,10,PhD,8,8,5225.17
30,m,10,PhD,8,8,5224.18
27,m,10,PhD,7,10,5223.62
27,m,10,PhD,8,8,5223.23
30,m,11,Ma,7,9,5223.18
28,m,10,PhD,9,8,5223.07
35,m,13,PhD,7,8,5221.73
30,m,11,PhD,8,10,5221.51
25,m,8,PhD,8,7,5221.18
27,m,13,Ma,9,8,5220.5
31,m,12,Ma,9,9,5219.71
26,m,11,PhD,8,9,5218.73
26,m,11,PhD,8,9,5218.73
25,m,9,PhD,7,8,5218.45
24,m,10,Ma,8,10,5218.23
26,m,15,PhD,9,9,5218.11
25,m,11,PhD,8,7,5217.71
29,m,10,PhD,9,7,5217.36
30,m,13,PhD,7,8,5217.13
23,m,12,PhD,8,8,5216.87
29,m,10,Ma,7,9,5216.84
31,m,10,Ma,7,9,5216.44
31,m,12,Ma,7,9,5216.13
29,m,13,Ma,7,7,5216.07
25,m,11,PhD,7,9,5215.81
28,m,12,PhD,6,8,5215.12
30,m,9,PhD,7,8,5214.89
26,m,13,PhD,8,8,5214.77
26,m,11,PhD,8,9,5214.53
26,m,11,PhD,7,8,5214.47
28,m,13,PhD,7,9,5214.15
28,m,10,Ma,7,9,5214.01
27,m,11,Ma,7,8,5213.8
30,m,12,PhD,8,9,5212.93
26,m,11,PhD,8,8,5212.53
27,m,8,PhD,8,9,5210.27
28,m,12,PhD,9,8,5210.19
27,m,11,PhD,7,10,5210.04
25,m,12,PhD,7,8,5208.93
26,m,9,PhD,8,9,5208.82
22,m,13,Ma,8,9,5208.81
29,m,13,Ma,7,7,5208.64
34,m,10,PhD,7,9,5208.42
26,m,10,PhD,5,7,5208.1
26,m,11,Ma,8,9,5207.54
27,m,12,PhD,9,7,5207.48
31,m,9,PhD,8,8,5207.06
29,m,10,PhD,7,8,5206.61
29,m,10,PhD,7,7,5206.59
27,m,11,Ma,8,7,5206.3
27,m,10,PhD,8,8,5205.4
28,m,12,PhD,8,9,5205.39
25,m,11,PhD,8,8,5204.32
28,m,9,PhD,7,8,5204.19
27,m,8,PhD,6,6,5204.16
25,m,10,Ma,8,8,5203.91
27,m,11,Ma,7,8,5202.99
28,m,12,PhD,6,7,5202.73
25,m,12,Ma,8,8,5201.65
28,m,10,PhD,7,9,5200.78
26,m,12,Ma,7,8,5200.17
25,m,10,PhD,8,9,5199.95
29,m,9,PhD,7,9,5199.01
28,m,9,PhD,7,9,5198.83
26,m,11,PhD,6,5,5198.57
29,m,14,PhD,8,8,5198.21
30,m,11,PhD,9,10,5197.97
30,m,11,PhD,8,9,5197.93
32,m,11,PhD,8,7,5197.26
26,m,12,PhD,7,9,5196.74
27,m,11,PhD,8,9,5196.42
26,m,11,Ma,8,10,5196.17
30,m,10,PhD,7,8,5196.05
26,m,12,PhD,7,10,5196.05
23,m,10,PhD,6,8,5195.64
22,m,10,PhD,7,7,5195.53
29,m,8,PhD,9,9,5194.06
26,m,9,PhD,8,9,5193.56
28,m,13,PhD,7,9,5193.4
28,m,11,PhD,7,8,5193.25
27,m,11,PhD,9,9,5192.71
27,m,10,PhD,7,10,5192.63
28,m,12,PhD,8,10,5192.33
24,m,13,PhD,8,8,5192.27
29,m,10,PhD,7,8,5191.99
30,m,9,PhD,6,8,5191.29
24,m,10,PhD,8,9,5190.87
30,m,12,PhD,8,9,5190.47
31,m,8,PhD,7,8,5190.2
31,m,11,PhD,6,8,5189.66
27,m,10,PhD,8,8,5189.52
29,m,12,PhD,7,9,5189.42
22,m,11,Ma,7,7,5188.92
28,m,10,PhD,8,8,5188.72
29,m,11,PhD,8,10,5186.68
28,m,13,Ma,9,9,5186.22
28,m,9,PhD,7,6,5186.21
29,m,11,PhD,7,8,5186.13
26,m,9,PhD,7,9,5185.13
30,m,12,Ma,8,7,5185.09
25,m,10,Ma,6,7,5184.59
34,m,13,PhD,8,9,5184.52
27,m,11,PhD,8,8,5184.37
24,m,8,Ma,7,8,5184.15
24,m,12,PhD,8,8,5183.52
32,m,10,PhD,6,8,5183.19
29,m,12,PhD,7,8,5182.91
28,m,10,PhD,6,8,5182.78
30,m,11,PhD,7,8,5181.75
23,m,10,PhD,8,8,5181.73
28,m,10,PhD,6,7,5181.46
20,m,12,Ma,8,7,5181.03
31,m,12,PhD,7,9,5180.69
27,m,11,PhD,7,10,5180.65
26,m,13,PhD,9,8,5180.01
28,m,10,PhD,8,9,5179.9
28,m,8,PhD,7,8,5179.77
28,m,11,PhD,6,8,5178.5
24,m,10,PhD,7,10,5177.49
32,m,10,PhD,8,9,5177.06
27,m,13,Ma,8,6,5175.91
30,m,12,PhD,9,8,5175.73
30,m,11,PhD,7,8,5175.69
29,m,11,PhD,8,7,5175.53
28,m,10,PhD,7,8,5175.38
29,m,10,PhD,8,9,5175.19
28,m,10,PhD,8,8,5174.92
29,m,9,PhD,8,9,5174.67
27,m,12,PhD,7,8,5174.55
29,m,10,PhD,7,9,5173.41
30,m,10,Ma,8,9,5173.26
21,m,10,Ma,8,9,5173.21
23,m,10,Ma,7,9,5172.39
29,m,14,PhD,8,10,5172.03
26,m,11,PhD,7,8,5171.67
26,m,11,PhD,8,8,5171.03
28,m,10,PhD,8,9,5170.97
30,m,11,PhD,7,8,5168.91
30,m,12,PhD,9,9,5168.7
32,m,14,Ma,7,7,5168.57
29,m,12,PhD,8,8,5168.25
28,m,10,PhD,8,10,5168.16
28,m,13,Ma,8,10,5168.09
25,m,13,PhD,8,7,5167.66
30,m,11,PhD,9,8,5167.61
